epochs,max_val_accuracy,min_val_loss,test_accuracy,learning_rate,beta_1,beta_2,epsilon
3100.0,0.8035714030265808,0.664656400680542,0.8083000183105469,0.0016343646073093,0.813444834775321,0.7102255853502537,
3200.0,0.8012857437133789,0.6576588749885559,0.8047000169754028,0.0016343646073093,0.813444834775321,0.7102255853502537,
3300.0,0.8064285516738892,0.6579911708831787,0.8012999892234802,0.0016343646073093,0.813444834775321,0.7102255853502537,
3400.0,0.807285726070404,0.6505865454673767,0.7993999719619751,0.0016343646073093,0.813444834775321,0.7102255853502537,
3500.0,0.8064285516738892,0.6608362197875977,0.7991999983787537,0.0016343646073093,0.813444834775321,0.7102255853502537,
3600.0,0.8078571557998657,0.6593363285064697,0.7965999841690063,0.0016343646073093,0.813444834775321,0.7102255853502537,
3700.0,0.803428590297699,0.6614216566085815,0.8007000088691711,0.0016343646073093,0.813444834775321,0.7102255853502537,
3800.0,0.8018571138381958,0.658851683139801,0.8001999855041504,0.0016343646073093,0.813444834775321,0.7102255853502537,
3900.0,0.8100000023841858,0.6486362218856812,0.8057000041007996,0.0016343646073093,0.813444834775321,0.7102255853502537,
4000.0,0.8058571219444275,0.6611506938934326,0.7997000217437744,0.0016343646073093,0.813444834775321,0.7102255853502537,
4100.0,0.8095714449882507,0.6616275310516357,0.8072999715805054,0.0016343646073093,0.813444834775321,0.7102255853502537,
4200.0,0.8029999732971191,0.6564508676528931,0.8064000010490417,0.0016343646073093,0.813444834775321,0.7102255853502537,
4300.0,0.8094285726547241,0.6559788584709167,0.8062999844551086,0.0016343646073093,0.813444834775321,0.7102255853502537,
4400.0,0.808571457862854,0.6645482778549194,0.8079000115394592,0.0016343646073093,0.813444834775321,0.7102255853502537,
4500.0,0.8078571557998657,0.6546920537948608,0.8052999973297119,0.0016343646073093,0.813444834775321,0.7102255853502537,
4600.0,0.807285726070404,0.6493167281150818,0.8091999888420105,0.0016343646073093,0.813444834775321,0.7102255853502537,
4700.0,0.8019999861717224,0.6586896181106567,0.7998999953269958,0.0016343646073093,0.813444834775321,0.7102255853502537,
4800.0,0.8041428327560425,0.6668651103973389,0.8076000213623047,0.0016343646073093,0.813444834775321,0.7102255853502537,
