epochs,max_val_accuracy,min_val_loss,test_accuracy,learning_rate,beta_1,beta_2,epsilon,rho,var
1000.0,0.9300000071525574,0.2334064543247223,0.9229000210762024,,,,,,1.0
2000.0,0.9287142753601074,0.2288628071546554,0.9200999736785888,,,,,,2.0
3000.0,0.9295714497566224,0.2309563755989074,0.9207000136375428,,,,,,3.0
4000.0,0.9300000071525574,0.2322098612785339,0.9248999953269958,,,,,,1.0
5000.0,0.927571415901184,0.2289070188999176,0.9210000038146972,,,,,,2.0
6000.0,0.930142879486084,0.2317160815000534,0.9218999743461608,,,,,,3.0
7000.0,0.9298571348190308,0.2328058630228042,0.9276999831199646,,,,,,1.0
8000.0,0.8335714340209961,0.4480003714561462,0.8228999972343445,,,,,,4.0
9000.0,0.826714277267456,0.4568694531917572,0.8223000168800354,,,,,,4.0
10000.0,0.8318571448326111,0.4487137198448181,0.824999988079071,,,,,,4.0
11000.0,0.8288571238517761,0.4841779470443725,0.8263999819755554,,,,,,4.0
12000.0,0.8401428461074829,0.4307723343372345,0.8374999761581421,,,,,,4.0
13000.0,0.8387143015861511,0.4351111650466919,0.8324000239372253,,,,,,4.0
14000.0,0.8305714130401611,0.466004878282547,0.8282999992370605,,,,,,4.0
15000.0,0.8379999995231628,0.4518862664699554,0.8342000246047974,,,,,,4.0
16000.0,0.8448571562767029,0.4247002005577087,0.8399999737739563,,,,,,4.0
17000.0,0.8158571720123291,0.4967277348041534,0.8123999834060669,,,,,,4.0
18000.0,0.8277142643928528,0.4932381808757782,0.8184999823570251,,,,,,4.0
19000.0,0.8361428380012512,0.466350644826889,0.8260999917984009,,,,,,4.0
20000.0,0.8235714435577393,0.4758678376674652,0.8172000050544739,,,,,,4.0
21000.0,0.8207142949104309,0.4936184287071228,0.8134999871253967,,,,,,4.0
22000.0,0.822857141494751,0.4822839796543121,0.8152999877929688,,,,,,4.0
23000.0,0.9317142963409424,0.2098053991794586,0.9261999726295472,,,,,,5.0
24000.0,0.9327142834663392,0.2111866921186447,0.9264000058174132,,,,,,5.0
25000.0,0.9334285855293274,0.2116322219371795,0.926699995994568,,,,,,5.0
26000.0,0.9308571219444276,0.2126496434211731,0.92739999294281,,,,,,5.0
27000.0,0.9330000281333924,0.2117416858673095,0.926800012588501,,,,,,5.0
28000.0,0.9321428537368774,0.211384505033493,0.9265999794006348,,,,,,5.0
